Species,SpAbrev,Accession #,Collection Location,MaternalLine,Treatment,TreatNotes,Replicate#,dLabel,Seeds/Dish,Substrate,PreTreatment,StartTemp,StratifLength,StartDate,StartPhotoperiod,Temp2,Temp2Date,Temp2Photo,Germ,Unvia,tGrm,tUnv,dChk,PropGerm,PropInv
Marshallia mohrii,Mar-moh,2014-1974-33,AL-EOID#14,NA - bulk ,"5L,35/20L","dishes given 3.5mL of diH20, then wrapped in parafilm",1,d-011,20,Blue Germination Paper,NA,5,12 Weeks,12/30/2014,Light-12/12,35/20,3/24/2014,Light - 12/12,0,0,19,0,1,0.95,0
Marshallia mohrii,Mar-moh,2014-1974-33,AL-EOID#14,NA - bulk ,"5L,35/20L","dishes given 3.5mL of diH20, then wrapped in parafilm",2,d-012,20,Blue Germination Paper,NA,5,12 Weeks,12/30/2014,Light-12/12,35/20,3/24/2014,Light - 12/12,0,0,17,1,2,0.85,0.05
Marshallia mohrii,Mar-moh,2014-1974-33,AL-EOID#14,NA - bulk ,"5L,35/20L","dishes given 3.5mL of diH20, then wrapped in parafilm",3,d-013,20,Blue Germination Paper,NA,5,12 Weeks,12/30/2014,Light-12/12,35/20,3/24/2014,Light - 12/12,0,2,18,2,0,0.9,0.1
Marshallia mohrii,Mar-moh,2014-1974-33,AL-EOID#14,NA - bulk ,"5L,35/20L","dishes given 3.5mL of diH20, then wrapped in parafilm",4,d-014,20,Blue Germination Paper,NA,5,12 Weeks,12/30/2014,Light-12/12,35/20,3/24/2014,Light - 12/12,0,0,18,1,1,0.9,0.05
Marshallia mohrii,Mar-moh,2014-1974-33,AL-EOID#14,NA - bulk ,"5L,35/20L","dishes given 3.5mL of diH20, then wrapped in parafilm",5,d-015,20,Blue Germination Paper,NA,5,12 Weeks,12/30/2014,Light-12/12,35/20,3/24/2014,Light - 12/12,0,0,15,2,3,0.75,0.1
Marshallia mohrii,Mar-moh,2014-1974-33,AL-EOID#14,NA - bulk ,"5L,15/6D","dishes given 3.5mL of diH20, then wrapped in parafilm",1,d-016,20,Blue Germination Paper,NA,5,12 Weeks,12/30/2014,Light-12/12,15/6,3/24/2014,Dark,14,1,14,2,4,0.7,0.1
Marshallia mohrii,Mar-moh,2014-1974-33,AL-EOID#14,NA - bulk ,"5L,15/6D","dishes given 3.5mL of diH20, then wrapped in parafilm",2,d-017,20,Blue Germination Paper,NA,5,12 Weeks,12/30/2014,Light-12/12,15/6,3/24/2014,Dark,11,0,11,3,6,0.55,0.15
Marshallia mohrii,Mar-moh,2014-1974-33,AL-EOID#14,NA - bulk ,"5L,15/6D","dishes given 3.5mL of diH20, then wrapped in parafilm",3,d-018,20,Blue Germination Paper,NA,5,12 Weeks,12/30/2014,Light-12/12,15/6,3/24/2014,Dark,14,0,14,4,2,0.7,0.2
Marshallia mohrii,Mar-moh,2014-1974-33,AL-EOID#14,NA - bulk ,"5L,15/6D","dishes given 3.5mL of diH20, then wrapped in parafilm",4,d-019,20,Blue Germination Paper,NA,5,12 Weeks,12/30/2014,Light-12/12,15/6,3/24/2014,Dark,18,0,18,0,2,0.9,0
Marshallia mohrii,Mar-moh,2014-1974-33,AL-EOID#14,NA - bulk ,"5L,15/6D","dishes given 3.5mL of diH20, then wrapped in parafilm",5,d-020,20,Blue Germination Paper,NA,5,12 Weeks,12/30/2014,Light-12/12,15/6,3/24/2014,Dark,17,0,17,0,3,0.85,0
Marshallia mohrii,Mar-moh,2014-1974-33,AL-EOID#14,NA - bulk ,"5L,25/15D","dishes given 3.5mL of diH20, then wrapped in parafilm",1,d-021,20,Blue Germination Paper,NA,5,12 Weeks,12/30/2014,Light-12/12,25/15,3/24/2014,Dark,19,0,19,0,1,0.95,0
Marshallia mohrii,Mar-moh,2014-1974-33,AL-EOID#14,NA - bulk ,"5L,25/15D","dishes given 3.5mL of diH20, then wrapped in parafilm",2,d-022,20,Blue Germination Paper,NA,5,12 Weeks,12/30/2014,Light-12/12,25/15,3/24/2014,Dark,17,2,17,3,0,0.85,0.15
Marshallia mohrii,Mar-moh,2014-1974-33,AL-EOID#14,NA - bulk ,"5L,25/15D","dishes given 3.5mL of diH20, then wrapped in parafilm",3,d-023,20,Blue Germination Paper,NA,5,12 Weeks,12/30/2014,Light-12/12,25/15,3/24/2014,Dark,17,2,17,2,1,0.85,0.1
Marshallia mohrii,Mar-moh,2014-1974-33,AL-EOID#14,NA - bulk ,"5L,25/15D","dishes given 3.5mL of diH20, then wrapped in parafilm",4,d-024,20,Blue Germination Paper,NA,5,12 Weeks,12/30/2014,Light-12/12,25/15,3/24/2014,Dark,19,0,19,0,1,0.95,0
Marshallia mohrii,Mar-moh,2014-1974-33,AL-EOID#14,NA - bulk ,"5L,25/15D","dishes given 3.5mL of diH20, then wrapped in parafilm",5,d-025,20,Blue Germination Paper,NA,5,12 Weeks,12/30/2014,Light-12/12,25/15,3/24/2014,Dark,17,1,17,3,0,0.85,0.15
Marshallia mohrii,Mar-moh,2014-1974-33,AL-EOID#14,NA - bulk ,"5L,35/20D","dishes given 3.5mL of diH20, then wrapped in parafilm",1,d-026,20,Blue Germination Paper,NA,5,12 Weeks,12/30/2014,Light-12/12,35/20,3/24/2014,Dark,17,2,17,2,1,0.85,0.1
Marshallia mohrii,Mar-moh,2014-1974-33,AL-EOID#14,NA - bulk ,"5L,35/20D","dishes given 3.5mL of diH20, then wrapped in parafilm",2,d-027,20,Blue Germination Paper,NA,5,12 Weeks,12/30/2014,Light-12/12,35/20,3/24/2014,Dark,18,1,18,1,1,0.9,0.05
Marshallia mohrii,Mar-moh,2014-1974-33,AL-EOID#14,NA - bulk ,"5L,35/20D","dishes given 3.5mL of diH20, then wrapped in parafilm",3,d-028,20,Blue Germination Paper,NA,5,12 Weeks,12/30/2014,Light-12/12,35/20,3/24/2014,Dark,11,3,11,5,4,0.55,0.25
Marshallia mohrii,Mar-moh,2014-1974-33,AL-EOID#14,NA - bulk ,"5L,35/20D","dishes given 3.5mL of diH20, then wrapped in parafilm",4,d-029,20,Blue Germination Paper,NA,5,12 Weeks,12/30/2014,Light-12/12,35/20,3/24/2014,Dark,14,0,14,0,6,0.7,0
Marshallia mohrii,Mar-moh,2014-1974-33,AL-EOID#14,NA - bulk ,"5L,35/20D","dishes given 3.5mL of diH20, then wrapped in parafilm",5,d-030,20,Blue Germination Paper,NA,5,12 Weeks,12/30/2014,Light-12/12,35/20,3/24/2014,Dark,11,2,11,2,7,0.55,0.1
